MountainRange,year,yday,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.,Date,Month,MeanNDVI
Marb,2019,192,51030.2742,0,531.0349,0,40.2779,21.6714,997.7227,07/11/2019,7,0.100699
Marb,2019,193,50974.8014,0,452.3043,0,39.9266,25.5823,1282.7827,07/12/2019,7,NA
Marb,2019,194,50916.8586,0,450.8878,0,39.8384,25.6334,1286.4218,07/13/2019,7,0.101607
Marb,2019,199,50591.3997,0,506.7531,0,37.4817,20.7225,938.2986,07/18/2019,7,0.100402
Marb,2019,200,50519.4334,0,481.4554,0,36.8526,21.4349,982.2013,07/19/2019,7,0.114127
Marb,2019,201,50445.2749,0,495.7487,0,37.4922,21.2504,970.9096,07/20/2019,7,0.100427
Marb,2019,202,50368.953,0,515.8337,0,39.0461,21.3585,977.6936,07/21/2019,7,0.106903
Marb,2019,203,50290.5222,0,430.6181,0,38.141,24.6891,1211.4605,07/22/2019,7,0.05947
Marb,2019,204,50210.0225,0,370.7827,0,37.4045,26.3678,1348.3319,07/23/2019,7,0.00414
Marb,2019,205,50127.495,6.9366,292.7638,0,36.3008,24.7447,1216.8053,07/24/2019,7,0.076006
Marb,2019,213,49399.6177,0,464.2945,0,38.2052,23.848,1149.0567,08/01/2019,8,0.103137
Marb,2019,214,49300.8378,0,483.041,0,39.6658,24.1833,1173.5199,08/02/2019,8,0.109912
Marb,2019,215,49200.4779,0,487.1983,0,40.5806,24.6768,1211.0054,08/03/2019,8,0.100546
Marb,2019,219,48784.0549,0,421.8626,0,37.0867,24.7185,1214.8823,08/07/2019,8,0.088859
Marb,2019,220,48676.4205,0,472.6119,0,36.9706,22.513,1053.9947,08/08/2019,8,0.103131
Marb,2019,221,48567.4583,0,487.3213,0,36.0247,21.0149,955.9695,08/09/2019,8,0.110494
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/17/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/25/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/26/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/27/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/28/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/29/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/30/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/31/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/01/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/03/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/04/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/12/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/13/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/14/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/15/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/16/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/17/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/18/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/23/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/24/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/25/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/30/2019,6,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/01/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/02/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/03/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/04/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/06/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/07/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/08/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/10/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/14/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/15/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/16/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/17/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/25/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/26/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/27/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/28/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/29/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/30/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/31/2019,7,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/04/2019,8,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/05/2019,8,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/06/2019,8,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/10/2019,8,NA
BrsS,2019,156,51202.38438,0,528.9236111,0,38.5675,21.59736111,993.9517361,06/05/2019,6,0.102639
BrsS,2019,157,51246.32771,0,418.0530556,0,37.796875,26.029375,1324.610139,06/06/2019,6,0.110935
BrsS,2019,158,51287.62465,0,543.5804167,0,36.50201389,18.92847222,833.0664583,06/07/2019,6,0.100356
BrsS,2019,159,51326.25528,0,525.6050694,0,33.33965278,17.17972222,741.7598611,06/08/2019,6,0.117745
BrsS,2019,160,51362.18139,0,495.4724306,0,33.90368056,19.06993056,841.8409722,06/09/2019,6,0.098635
BrsS,2019,161,51395.3875,0,523.8380556,0,36.62784722,19.83576389,885.1107639,06/10/2019,6,0.072474
BrsS,2019,162,51425.8491,0,524.5965972,0,39.61604167,22.26194444,1037.520903,06/11/2019,6,0.101705
BrsS,2019,163,51453.54438,0,513.723125,0,41.45388889,24.36291667,1188.243472,06/12/2019,6,0.105381
BrsS,2019,164,51478.45146,0,537.0613194,0,40.60152778,22.181875,1032.384097,06/13/2019,6,0.108016
BrsS,2019,165,51500.55403,0,506.0536111,0,37.57881944,21.44840278,984.6126389,06/14/2019,6,0.097774
BrsS,2019,166,51519.84472,0,409.8883333,0,37.58770833,25.59493056,1288.928681,06/15/2019,6,0.10943
BrsS,2019,170,51568.56257,0,474.7223611,0,37.13986111,22.43569444,1050.062361,06/19/2019,6,0.103693
BrsS,2019,171,51573.58889,0,494.9853472,0,38.64798611,22.57055556,1058.754097,06/20/2019,6,0.103596
BrsS,2019,172,51575.74708,0,442.2004167,0,34.97506944,21.52645833,993.8149306,06/21/2019,6,0.100227
BrsS,2019,173,51575.03708,0,453.3909722,0,34.69298611,20.71347222,938.4475694,06/22/2019,6,0.108635
BrsS,2019,174,51571.45257,0,534.2873611,0,36.10958333,17.73805556,769.7049306,06/23/2019,6,0.098971
BrsS,2019,175,51565.00806,0,500.8373611,0,38.06472222,21.39118056,980.640625,06/24/2019,6,0.112403
BrsS,2019,176,51555.69083,0,491.321875,0,36.24430556,20.28909722,912.3488889,06/25/2019,6,0.031638
BrsS,2019,177,51543.51729,0,495.3097222,0,35.61333333,19.46708333,864.1254167,06/26/2019,6,0.106502
BrsS,2019,178,51528.49743,0,479.1489583,0,36.11993056,20.83097222,946.2248611,06/27/2019,6,0.10004
BrsS,2019,179,51510.63938,0,481.3935417,0,35.67527778,20.34756944,915.7496528,06/28/2019,6,0.102081
BrsS,2019,180,51489.955,0,520.6523611,0,37.62201389,19.89951389,888.9209028,06/29/2019,6,0.078125
BrsS,2019,181,51466.45604,0,498.36625,0,38.91166667,22.27569444,1037.493403,06/30/2019,6,0.100419
BrsS,2019,182,51440.16896,0,470.3807639,0,39.24263889,23.98777778,1161.426736,07/01/2019,7,0.11086
BrsS,2019,183,51411.09924,0,463.9902778,0,38.15083333,23.31284722,1113.135139,07/02/2019,7,0.09688
BrsS,2019,184,51379.27576,0,460.8872917,0,37.26708333,22.70048611,1068.940139,07/03/2019,7,0.084627
BrsS,2019,185,51344.71333,0,467.5574306,0,36.82902778,22.06201389,1026.157153,07/04/2019,7,0.097543
BrsS,2019,186,51307.44903,0,442.9788889,0,35.89680556,22.36798611,1048.484167,07/05/2019,7,0.103735
BrsS,2019,187,51267.49208,0,515.5688194,0,37.82368056,20.39680556,918.7465278,07/06/2019,7,0.102384
BrsS,2019,188,51224.87514,0,480.9426389,0,37.09625,21.63284722,996.2860417,07/07/2019,7,0.051017
BrsS,2019,189,51179.63181,0,483.3214583,0,34.78513889,19.51055556,866.1155556,07/08/2019,7,0.10629
BrsS,2019,190,51131.78215,0,494.6407639,0,35.54083333,19.58993056,871.0372917,07/09/2019,7,0.097959
BrsS,2019,191,51081.36167,0,517.9777778,0,37.81180556,20.25604167,910.070625,07/10/2019,7,0.110912
BrsS,2019,192,51028.4075,0,531.3958333,0,41.38868056,22.30638889,1040.751181,07/11/2019,7,0.096249
BrsS,2019,193,50972.94882,0,453.3722222,0,40.44541667,25.81840278,1303.312292,07/12/2019,7,NA
BrsS,2019,194,50915.02014,0,453.3202778,0,40.40791667,25.86611111,1306.325694,07/13/2019,7,0.097351
BrsS,2019,195,50854.65694,0,492.2418056,0,42.28875,25.52076389,1278.765972,07/14/2019,7,0.100465
BrsS,2019,196,50791.90556,0,463.7397222,0,40.63743056,25.48854167,1276.319028,07/15/2019,7,0.102262
BrsS,2019,197,50726.78785,0,492.5293056,0,39.53736111,23.11326389,1095.830625,07/16/2019,7,0.097404
BrsS,2019,198,50659.35563,0,477.4634028,0,37.403125,21.98263889,1019.012778,07/17/2019,7,0.109093
BrsS,2019,199,50589.6434,0,505.6334722,0,37.92458333,20.94520833,953.1102778,07/18/2019,7,0.095053
BrsS,2019,200,50517.69486,0,482.7538194,0,37.37166667,21.60645833,993.8184722,07/19/2019,7,0.106995
BrsS,2019,201,50443.55444,0,493.7990278,0,37.93368056,21.51840278,988.6913194,07/20/2019,7,0.095878
BrsS,2019,202,50367.25139,0,514.5116667,0,39.68520833,21.71277778,1001.104861,07/21/2019,7,0.101624
BrsS,2019,203,50288.84014,0,432.2555556,0,38.869375,25.08305556,1242.916736,07/22/2019,7,0.054909
BrsS,2019,204,50208.36069,0,369.56625,0,38.16472222,26.96284722,1401.199375,07/23/2019,7,0.003691
BrsS,2019,205,50125.85313,4.025555556,298.1788194,0,37.04402778,24.99423611,1237.395,07/24/2019,7,0.046493
BrsS,2019,206,50041.36104,1.955347222,355.2848611,0,36.13715278,24.51979167,1200.310069,07/25/2019,7,0.028993
BrsS,2019,207,49954.93708,0,449.1727083,0,38.94166667,24.79979167,1221.846111,07/26/2019,7,0.106117
BrsS,2019,208,49866.61681,0,470.4627083,0,40.76895833,25.36951389,1266.923472,07/27/2019,7,0.095598
BrsS,2019,209,49776.44201,0,483.6211806,0,42.93680556,26.45715278,1355.845625,07/28/2019,7,0.100568
BrsS,2019,214,49299.39903,0,487.9632639,0,40.60555556,24.44201389,1193.878056,08/02/2019,8,0.107382
BrsS,2019,215,49199.0634,0,490.6436806,0,41.48729167,24.93722222,1232.257708,08/03/2019,8,0.097631
BrsS,2019,216,49097.1859,0,467.6204167,0,40.800625,25.49020833,1276.246944,08/04/2019,8,0.016192
BrsS,2019,217,48993.80757,0,389.0502083,0,36.89715278,25.40243056,1268.939722,08/05/2019,8,0.096095
BrsS,2019,218,48888.98375,0,358.3386111,0,37.52951389,27.10604167,1413.466528,08/06/2019,8,-0.008315
BrsS,2019,219,48782.74174,0,409.7390278,0,37.76298611,25.56902778,1284.120347,08/07/2019,8,0.08965
BrsS,2019,220,48675.1334,0,463.0788889,0,37.71048611,23.34625,1113.496111,08/08/2019,8,0.097978
BrsS,2019,221,48566.19694,0,481.6728472,0,36.54444444,21.47590278,986.2181944,08/09/2019,8,0.106369
BrsS,2019,222,48455.9741,0,490.6120833,0,35.36548611,20.07763889,899.1354861,08/10/2019,8,0.097678
BrsS,2019,223,48344.50757,0,503.1920139,0,35.4,19.385625,859.2128472,08/11/2019,8,0.109237
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/04/2019,6,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/16/2019,6,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/17/2019,6,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/18/2019,6,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/29/2019,7,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/30/2019,7,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/31/2019,7,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/01/2019,8,NA
BrsS,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/12/2019,8,NA
CMPR,2019,144,50662.4072,0,500.1452,0,17.2868,5.8108,358.7196,05/24/2019,5,0.09031
CMPR,2019,145,50737.3864,0,541.4924,0,20.9636,7.7256,381.0248,05/25/2019,5,0.259809
CMPR,2019,146,50810.088,0,514.782,0,19.1128,7.086,367.5924,05/26/2019,5,0.059894
CMPR,2019,147,50880.4872,0,501.686,0,16.5924,5.15,342.9552,05/27/2019,5,0.170841
CMPR,2019,148,50948.5212,0,573.864,0,21.0836,6.1992,340.6872,05/28/2019,5,0.206733
CMPR,2019,149,51014.1552,0,539.15,0,23.0168,9.674,438.7912,05/29/2019,5,0.16908
CMPR,2019,150,51077.3592,0,527.9108,0,24.8744,11.9044,514.0152,05/30/2019,5,0.077139
CMPR,2019,172,51786.6532,0,505.4592,0,29.676,16.4404,703.9404,06/21/2019,6,0.191864
CMPR,2019,173,51785.9232,0,439.5136,0,27.2848,16.5188,707.474,06/22/2019,6,0.192823
CMPR,2019,174,51782.238,0,512.1576,0,28.3468,14.754,626.8864,06/23/2019,6,0.17658
CMPR,2019,175,51775.6204,0,525.5764,0,31.6608,17.1316,737.2284,06/24/2019,6,0.207778
CMPR,2019,176,51766.0552,0,493.1592,0,30.2076,17.1972,740.7412,06/25/2019,6,0.160114
CMPR,2019,177,51753.5524,0,470.8308,0,28.98,16.902,726.0612,06/26/2019,6,0.213188
CMPR,2019,193,51167.7612,0,446.676,0,35.4624,23.7388,1139.346,07/12/2019,7,NA
CMPR,2019,194,51108.3024,0,436.7552,0,35.4964,24.1536,1170.1548,07/13/2019,7,0.160951
CMPR,2019,195,51046.346,0,479.2836,0,36.3224,23.3428,1110.9464,07/14/2019,7,0.183445
CMPR,2019,212,49651.5168,0,349.8668,0,30.5872,22.3732,1043.6552,07/31/2019,7,0.129889
CMPR,2019,213,49551.892,0,468.9876,0,33.0048,20.9424,950.5352,08/01/2019,8,0.172397
CMPR,2019,214,49450.6048,0,486.0008,0,34.648,21.7276,1000.594,08/02/2019,8,0.176205
CMPR,2019,215,49347.6976,0,483.0332,0,35.8004,22.8644,1077.0112,08/03/2019,8,0.157919
CMPR,2019,218,49029.6904,0,374.4024,0,32.7872,23.864,1148.9548,08/06/2019,8,0.143098
CMPR,2019,219,48920.748,24.7408,368.656,0,33.1804,20.1948,904.9116,08/07/2019,8,0.162139
CMPR,2019,220,48810.4056,0,502.5376,0,32.138,18.8244,826.1772,08/08/2019,8,0.173327
CMPR,2019,221,48698.7056,0,498.7508,0,31.7968,18.7492,822.1256,08/09/2019,8,0.174301
CMPR,2019,222,48585.6932,0,471.602,0,30.824,19.0352,837.7256,08/10/2019,8,0.162087
CMPR,2019,223,48471.4056,0,499.0552,0,30.6232,17.6896,765.6664,08/11/2019,8,0.184422
CMPR,2019,224,48355.8956,0,521.2152,0,31.9024,17.6808,765.1812,08/12/2019,8,0.15447
CMPR,2019,225,48239.188,0,531.8612,0,33.824,18.6564,816.7844,08/13/2019,8,0.194704
CMPR,2019,226,48121.3404,0,530.5328,0,35.9464,20.4296,918.7196,08/14/2019,8,0.154964
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/23/2019,5,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/31/2019,5,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/01/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/03/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/04/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/05/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/07/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/08/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/09/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/10/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/11/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/12/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/13/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/14/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/15/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/16/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/17/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/18/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/19/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/20/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/27/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/28/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/29/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/30/2019,6,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/01/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/02/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/03/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/04/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/06/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/07/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/08/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/10/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/11/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/15/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/16/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/17/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/18/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/19/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/20/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/21/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/22/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/23/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/24/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/25/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/26/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/27/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/28/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/29/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/30/2019,7,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/04/2019,8,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/05/2019,8,NA
CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/15/2019,8,NA
Nopa,2019,158,51715.97211,0,388.6542105,0,30.88894737,21.03894737,1350.107368,06/07/2019,6,0.134879
Nopa,2019,159,51756.78,0,508.4626316,0,29.25473684,15.39157895,737.1289474,06/08/2019,6,0.164318
Nopa,2019,160,51794.73842,0,499.4631579,0,30.20105263,16.49368421,801.1389474,06/09/2019,6,0.12788
Nopa,2019,161,51829.82368,0,541.1031579,0,33.51526316,17.26947368,787.1,06/10/2019,6,0.072259
Nopa,2019,162,51862.00789,0,548.79,0,35.83210526,18.68473684,851.4526316,06/11/2019,6,0.133661
Nopa,2019,163,51891.26737,0,523.1989474,0,37.52789474,21.49631579,1039.102105,06/12/2019,6,0.119196
Nopa,2019,177,51986.34316,0,404.0468421,0,31.96473684,20.91,993.8815789,06/26/2019,6,0.145604
Nopa,2019,178,51970.47,0,422.6126316,0,32.46368421,20.78052632,971.5563158,06/27/2019,6,0.124842
Nopa,2019,179,51951.59789,0,471.7068421,0,32.97421053,19.37789474,870.8205263,06/28/2019,6,0.137422
Nopa,2019,180,51929.74211,0,495.8505263,0,34.39578947,19.54631579,875.9757895,06/29/2019,6,0.127936
Nopa,2019,181,51904.91316,0,444.6936842,0,34.84631579,22.16894737,1057.605263,06/30/2019,6,0.12739
Nopa,2019,182,51877.13474,0,484.8384211,0,34.90894737,20.52105263,936.4284211,07/01/2019,7,0.139131
Nopa,2019,183,51846.42105,0,436.4310526,0,34.00315789,21.72,1028.429474,07/02/2019,7,0.118463
Nopa,2019,184,51812.79684,0,457.3552632,0,33.29631579,20.33157895,934.3821053,07/03/2019,7,0.038017
Nopa,2019,185,51776.28526,0,473.1378947,0,32.96526316,19.47368421,878.3473684,07/04/2019,7,0.117919
Nopa,2019,186,51736.91158,0,512.16,0,34.71368421,19.21315789,855.1963158,07/05/2019,7,0.032287
Nopa,2019,187,51694.69947,0,488.2231579,0,34.94210526,20.53,936.5315789,07/06/2019,7,0.124822
Nopa,2019,188,51649.68316,0,422.7610526,0,32.96421053,21.29789474,1005.486842,07/07/2019,7,0.099802
Nopa,2019,198,51052.51474,0,472.3884211,0,35.39789474,21.63421053,1007.125263,07/17/2019,7,0.131913
Nopa,2019,199,50978.93105,0,465.1321053,0,35.40684211,21.97631579,1032.492632,07/18/2019,7,0.114266
Nopa,2019,200,50902.99158,0,470.6642105,0,35.02157895,21.42105263,994.7121053,07/19/2019,7,0.136079
Nopa,2019,201,50824.73737,0,461.1173684,0,34.84421053,21.62263158,1011.28,07/20/2019,7,0.112907
Nopa,2019,202,50744.21684,0,513.9689474,0,37.88631579,21.61947368,999.2394737,07/21/2019,7,0.130975
Nopa,2019,203,50661.47579,0,479.0215789,0,38.82210526,24.07263158,1177.940526,07/22/2019,7,0.114576
Nopa,2019,204,50576.55684,0,300.3536842,0,35.31473684,27.07052632,1622.546316,07/23/2019,7,-0.001771
Nopa,2019,205,50489.51263,27.72736842,302.9205263,0,35.91894737,24.38052632,1370.876316,07/24/2019,7,0.081811
Nopa,2019,206,50400.38474,18.20157895,251.1168421,0,33.21736842,23.85684211,2225.335789,07/25/2019,7,-0.004793
Nopa,2019,207,50309.21105,0,428.69,0,36.45736842,23.41315789,1710.533158,07/26/2019,7,0.125862
Nopa,2019,208,50216.05895,0,444.6636842,0,37.72947368,23.77421053,1693.086842,07/27/2019,7,0.112959
Nopa,2019,209,50120.95789,0,462.0715789,0,40.09684211,24.86421053,1753.713158,07/28/2019,7,0.129423
Nopa,2019,211,49925.12474,0,402.2863158,0,38.12052632,25.77210526,1927.894737,07/30/2019,7,0.105665
